"","cohort","mcohort","resp.var","cv.fold","family","var.type","term","coef"
"14","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP007064.1.region003|GC_DNA--Entryname=NRPS-like--OS=nucleatum_subsp__vincentii_3_1_27_chromosome--SMASHregion=region003--NR=1",0
"15","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP037440.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=fragilis_strain_DCMOUH0085B--SMASHregion=region004--NR=8",0.447457969592886
"16","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP080296.1.region003|GC_DNA--Entryname=NRPS-like--OS=fragilis_strain_IHMA_13--SMASHregion=region003--NR=13",0
"17","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP080295.1.region001|GC_DNA--Entryname=ranthipeptide:lanthipeptide-class-i--OS=fragilis_strain_IHMA_4--SMASHregion=region001--NR=3",0
"18","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP044428.1.region002|GC_DNA--Entryname=betalactone--OS=fragilis_strain_DK1985--SMASHregion=region002--NR=1",-0.0990777234835152
"19","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP048436.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=plautii_strain_JCM_32125--SMASHregion=region001--NR=2",-0.0121960212158674
"20","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP048436.1.region002|GC_DNA--Entryname=ranthipeptide--OS=plautii_strain_JCM_32125--SMASHregion=region002--NR=4",0
"21","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP066014.1.region001|GC_DNA--Entryname=NRPS:RRE-containing--OS=vaginalis_strain_FDAARGOS_988--SMASHregion=region001--NR=1",0.452576685055659
"22","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP066014.1.region002|GC_DNA--Entryname=ranthipeptide--OS=vaginalis_strain_FDAARGOS_988--SMASHregion=region002--NR=2",0
"23","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP066055.1.region001|GC_DNA--Entryname=RRE-containing--OS=constellatus_strain_FDAARGOS_1015--SMASHregion=region001--NR=1",-0.0755589184010521
"24","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP066055.1.region007|GC_DNA--Entryname=NRPS--OS=constellatus_strain_FDAARGOS_1015--SMASHregion=region007--NR=1",0
"25","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP067016.1.region001|GC_DNA--Entryname=RRE-containing--OS=obesiensis_strain_FDAARGOS_989--SMASHregion=region001--NR=1",0
"26","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP069558.1.region004|GC_DNA--Entryname=sactipeptide--OS=constellatus_strain_FDAARGOS_1208--SMASHregion=region004--NR=2",0
"27","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP083636.1.region001|GC_DNA--Entryname=T3PKS--OS=morbillorum_strain_FDAARGOS_1501--SMASHregion=region001--NR=3",0
"28","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP083636.1.region002|GC_DNA--Entryname=lanthipeptide-class-ii--OS=morbillorum_strain_FDAARGOS_1501--SMASHregion=region002--NR=2",0
"29","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP091724.1.region001|GC_DNA--Entryname=RRE-containing--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region001--NR=1",0
"30","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP091724.1.region002|GC_DNA--Entryname=RRE-containing--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region002--NR=1",0
"31","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP091724.1.region003|GC_DNA--Entryname=ranthipeptide--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region003--NR=1",-0.108576030994834
"32","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP091724.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region004--NR=1",0
"33","ccAustria","ccAustria","group",1,"binomial","BGC","gb|CP091724.1.region005|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region005--NR=1",-0.152782530044972
"34","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_LN877293.1.region002|GC_DNA--Entryname=lanthipeptide-class-i--OS=fragilis_strain_BE1_chromosome--SMASHregion=region002--NR=3",0
"35","ccAustria","ccAustria","group",1,"binomial","BGC","gb|DYTY01000220.1.region001|GC_DNA--Entryname=NRPS--OS=TPA_asm:_Bilophila_wadsworthia_isolate_2407--SMASHregion=region001--NR=2",0
"36","ccAustria","ccAustria","group",1,"binomial","BGC","gb|DYTY01000248.1.region001|GC_DNA--Entryname=NRPS-like--OS=TPA_asm:_Bilophila_wadsworthia_isolate_2407--SMASHregion=region001--NR=2",0
"37","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKP010000008.1.region001|GC_DNA--Entryname=ranthipeptide--OS=Peptostreptococcus_sp__isolate_JCVI_44_bin_26--SMASHregion=region001--NR=3",0
"38","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKJ010000029.1.region001|GC_DNA--Entryname=lanthipeptide-class-ii--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=2",0.173407249910816
"39","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKN010000005.1.region001|GC_DNA--Entryname=NRPS--OS=Peptostreptococcus_sp__isolate_JCVI_32_bin_13--SMASHregion=region001--NR=3",0
"40","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKJ010000063.1.region001|GC_DNA--Entryname=NRPS-like--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=2",0
"41","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKJ010000170.1.region001|GC_DNA--Entryname=RRE-containing--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=1",0.148848300338279
"42","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JABZKN010000001.1.region001|GC_DNA--Entryname=ranthipeptide--OS=Peptostreptococcus_sp__isolate_JCVI_32_bin_13--SMASHregion=region001--NR=2",0
"43","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JAGZBX010000005.1.region001|GC_DNA--Entryname=NRPS--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0.154128826650998
"44","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JAGZBX010000007.1.region001|GC_DNA--Entryname=ranthipeptide--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0
"45","ccAustria","ccAustria","group",1,"binomial","BGC","gb|JAGZBX010000029.1.region001|GC_DNA--Entryname=ranthipeptide--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0
"46","ccAustria","ccAustria","group",1,"binomial","BGC","gb|KE150405.1.region001|GC_DNA--Entryname=lanthipeptide-class-ii--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0
"47","ccAustria","ccAustria","group",1,"binomial","BGC","gb|KE150405.1.region002|GC_DNA--Entryname=ranthipeptide--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region002--NR=1",0.303394317331641
"48","ccAustria","ccAustria","group",1,"binomial","BGC","gb|KE150405.1.region003|GC_DNA--Entryname=ranthipeptide:cyclic-lactone-autoinducer--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region003--NR=1",0
"49","ccAustria","ccAustria","group",1,"binomial","BGC","gb|KE150406.1.region001|GC_DNA--Entryname=NRPS--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0.0929857571308084
"50","ccAustria","ccAustria","group",1,"binomial","BGC","gb|KE150407.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0
"51","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region001--NR=2",0.188002902661689
"52","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region002|GC_DNA--Entryname=ranthipeptide--OS=intestinalis_L1-82_genome--SMASHregion=region002--NR=2",0
"53","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region003|GC_DNA--Entryname=RRE-containing--OS=intestinalis_L1-82_genome--SMASHregion=region003--NR=2",-0.125817684913249
"54","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region004--NR=2",-0.0651146304047042
"55","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region005|GC_DNA--Entryname=cyclic-lactone-autoinducer:ranthipeptide--OS=intestinalis_L1-82_genome--SMASHregion=region005--NR=2",-0.108607187411249
"56","ccAustria","ccAustria","group",1,"binomial","BGC","gb|LR027880.1.region006|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region006--NR=2",-0.0765739825845843
"57","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_AP014598.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_OMA14_chromosome--SMASHregion=region001--NR=5",0
"58","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP022479.1.region001|GC_DNA--Entryname=ranthipeptide--OS=prausnitzii_strain_A2165--SMASHregion=region001--NR=2",0.0383876500821702
"59","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP022479.1.region002|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=prausnitzii_strain_A2165--SMASHregion=region002--NR=1",-0.0519887023205317
"60","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP022479.1.region003|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=prausnitzii_strain_A2165--SMASHregion=region003--NR=3",0
"61","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP024696.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2033--SMASHregion=region001--NR=1",0
"62","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP024724.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2837_chromosome--SMASHregion=region001--NR=1",0.0333517516011139
"63","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP024730.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_1933_chromosome--SMASHregion=region001--NR=3",0
"64","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP024723.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2837_chromosome--SMASHregion=region001--NR=11--BG=2",0.13932552270851
"65","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP026548.1.region001|GC_DNA--Entryname=ranthipeptide--OS=prausnitzii_strain_942-30-2--SMASHregion=region001--NR=1",-0.2501607183898
"66","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP026548.1.region003|GC_DNA--Entryname=RiPP-like--OS=prausnitzii_strain_942-30-2--SMASHregion=region003--NR=1",0
"67","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP030095.1.region002|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2734_chromosome--SMASHregion=region002--NR=1",0.101082819816557
"68","ccAustria","ccAustria","group",1,"binomial","BGC","gb|NZ_CP030777.1.region001|GC_DNA--Entryname=ranthipeptide--OS=prausnitzii_strain_APC918-95b--SMASHregion=region001--NR=1",-0.273177363604265
"69","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP007062.1.region001|GC_DNA--Entryname=NRPS-like--OS=nucleatum_subsp__animalis--SMASHregion=region001--NR=17",0
"70","ccAustria","ccAustria","group",2,"binomial","BGC","gb|AFII01000002.1.region001|GC_DNA--Entryname=LAP:thiopeptide--OS=sp__oral_taxon_110_str__F0139--SMASHregion=region001--NR=2",0
"71","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CR626927.1.region001|GC_DNA--Entryname=RRE-containing--OS=fragilis_NCTC--SMASHregion=region001--NR=22",0
"72","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP011073.1.region002|GC_DNA--Entryname=NRPS-like--OS=fragilis_strain--SMASHregion=region002--NR=21",0
"73","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP003800.1.region001|GC_DNA--Entryname=T3PKS--OS=constellatus_subsp__pharyngis--SMASHregion=region001--NR=8",0
"74","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP003859.1.region003|GC_DNA--Entryname=RiPP-like--OS=constellatus_subsp__pharyngis--SMASHregion=region003--NR=8",0
"75","ccAustria","ccAustria","group",2,"binomial","BGC","gb|AP025559.1.region001|GC_DNA--Entryname=resorcinol--OS=somerae_CE91-St14--SMASHregion=region001--NR=1",0
"76","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP024734.1.region003|GC_DNA--Entryname=RRE-containing--OS=intermedia_strain_KCOM_1944_chromosome--SMASHregion=region003--NR=14",0.100408365677256
"77","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_LN831027.1.region001|GC_DNA--Entryname=NRPS-like--OS=nucleatum_subsp__polymorphum_strain_NCTC10562_chromosome--SMASHregion=region001--NR=12",0.24254642908143
"78","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP071093.1.region002|GC_DNA--Entryname=NRPS-like--OS=nucleatum_subsp__vincentii_strain_THCT14A3--SMASHregion=region002--NR=9",0.226589013006402
"79","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP003800.1.region002|GC_DNA--Entryname=LAP--OS=constellatus_subsp__pharyngis--SMASHregion=region002--NR=6",-0.0861644328788245
"80","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP003840.1.region004|GC_DNA--Entryname=RaS-RiPP--OS=constellatus_subsp__pharyngis--SMASHregion=region004--NR=5",0.0308091574471881
"81","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP003800.1.region005|GC_DNA--Entryname=NRPS-like--OS=constellatus_subsp__pharyngis--SMASHregion=region005--NR=5",0
"82","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP007064.1.region003|GC_DNA--Entryname=NRPS-like--OS=nucleatum_subsp__vincentii_3_1_27_chromosome--SMASHregion=region003--NR=1",0
"83","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP037440.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=fragilis_strain_DCMOUH0085B--SMASHregion=region004--NR=8",0.168737041264516
"84","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP080296.1.region003|GC_DNA--Entryname=NRPS-like--OS=fragilis_strain_IHMA_13--SMASHregion=region003--NR=13",0
"85","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP080295.1.region001|GC_DNA--Entryname=ranthipeptide:lanthipeptide-class-i--OS=fragilis_strain_IHMA_4--SMASHregion=region001--NR=3",0.0642081244723918
"86","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP044428.1.region002|GC_DNA--Entryname=betalactone--OS=fragilis_strain_DK1985--SMASHregion=region002--NR=1",0
"87","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP048436.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=plautii_strain_JCM_32125--SMASHregion=region001--NR=2",0
"88","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP048436.1.region002|GC_DNA--Entryname=ranthipeptide--OS=plautii_strain_JCM_32125--SMASHregion=region002--NR=4",0
"89","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP066014.1.region001|GC_DNA--Entryname=NRPS:RRE-containing--OS=vaginalis_strain_FDAARGOS_988--SMASHregion=region001--NR=1",0.101503647702444
"90","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP066014.1.region002|GC_DNA--Entryname=ranthipeptide--OS=vaginalis_strain_FDAARGOS_988--SMASHregion=region002--NR=2",0
"91","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP066055.1.region001|GC_DNA--Entryname=RRE-containing--OS=constellatus_strain_FDAARGOS_1015--SMASHregion=region001--NR=1",0
"92","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP066055.1.region007|GC_DNA--Entryname=NRPS--OS=constellatus_strain_FDAARGOS_1015--SMASHregion=region007--NR=1",0
"93","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP067016.1.region001|GC_DNA--Entryname=RRE-containing--OS=obesiensis_strain_FDAARGOS_989--SMASHregion=region001--NR=1",0
"94","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP069558.1.region004|GC_DNA--Entryname=sactipeptide--OS=constellatus_strain_FDAARGOS_1208--SMASHregion=region004--NR=2",0
"95","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP083636.1.region001|GC_DNA--Entryname=T3PKS--OS=morbillorum_strain_FDAARGOS_1501--SMASHregion=region001--NR=3",0.0361298866782175
"96","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP083636.1.region002|GC_DNA--Entryname=lanthipeptide-class-ii--OS=morbillorum_strain_FDAARGOS_1501--SMASHregion=region002--NR=2",0
"97","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP091724.1.region001|GC_DNA--Entryname=RRE-containing--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region001--NR=1",0
"98","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP091724.1.region002|GC_DNA--Entryname=RRE-containing--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region002--NR=1",0
"99","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP091724.1.region003|GC_DNA--Entryname=ranthipeptide--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region003--NR=1",-0.156590222396669
"100","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP091724.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region004--NR=1",0
"101","ccAustria","ccAustria","group",2,"binomial","BGC","gb|CP091724.1.region005|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=Anaerotruncus_sp__isolate_nC33_bin_255_fa--SMASHregion=region005--NR=1",-0.0485115929295905
"102","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_LN877293.1.region002|GC_DNA--Entryname=lanthipeptide-class-i--OS=fragilis_strain_BE1_chromosome--SMASHregion=region002--NR=3",0
"103","ccAustria","ccAustria","group",2,"binomial","BGC","gb|DYTY01000220.1.region001|GC_DNA--Entryname=NRPS--OS=TPA_asm:_Bilophila_wadsworthia_isolate_2407--SMASHregion=region001--NR=2",0
"104","ccAustria","ccAustria","group",2,"binomial","BGC","gb|DYTY01000248.1.region001|GC_DNA--Entryname=NRPS-like--OS=TPA_asm:_Bilophila_wadsworthia_isolate_2407--SMASHregion=region001--NR=2",0
"105","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKP010000008.1.region001|GC_DNA--Entryname=ranthipeptide--OS=Peptostreptococcus_sp__isolate_JCVI_44_bin_26--SMASHregion=region001--NR=3",0
"106","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKJ010000029.1.region001|GC_DNA--Entryname=lanthipeptide-class-ii--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=2",0.0487130749056123
"107","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKN010000005.1.region001|GC_DNA--Entryname=NRPS--OS=Peptostreptococcus_sp__isolate_JCVI_32_bin_13--SMASHregion=region001--NR=3",0
"108","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKJ010000063.1.region001|GC_DNA--Entryname=NRPS-like--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=2",0
"109","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKJ010000170.1.region001|GC_DNA--Entryname=RRE-containing--OS=Peptostreptococcus_sp__isolate_JCVI_12_bin_18--SMASHregion=region001--NR=1",0
"110","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JABZKN010000001.1.region001|GC_DNA--Entryname=ranthipeptide--OS=Peptostreptococcus_sp__isolate_JCVI_32_bin_13--SMASHregion=region001--NR=2",0
"111","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JAGZBX010000005.1.region001|GC_DNA--Entryname=NRPS--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0
"112","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JAGZBX010000007.1.region001|GC_DNA--Entryname=ranthipeptide--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0.038840828414517
"113","ccAustria","ccAustria","group",2,"binomial","BGC","gb|JAGZBX010000029.1.region001|GC_DNA--Entryname=ranthipeptide--OS=sp__isolate_L3_108_000G1_dasL3_108_000G1_concoct_14--SMASHregion=region001--NR=2",0
"114","ccAustria","ccAustria","group",2,"binomial","BGC","gb|KE150405.1.region001|GC_DNA--Entryname=lanthipeptide-class-ii--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0
"115","ccAustria","ccAustria","group",2,"binomial","BGC","gb|KE150405.1.region002|GC_DNA--Entryname=ranthipeptide--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region002--NR=1",0.272220680894991
"116","ccAustria","ccAustria","group",2,"binomial","BGC","gb|KE150405.1.region003|GC_DNA--Entryname=ranthipeptide:cyclic-lactone-autoinducer--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region003--NR=1",0
"117","ccAustria","ccAustria","group",2,"binomial","BGC","gb|KE150406.1.region001|GC_DNA--Entryname=NRPS--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0
"118","ccAustria","ccAustria","group",2,"binomial","BGC","gb|KE150407.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=bacterium_3_1_57FAA_CT1_genomic_scaffold--SMASHregion=region001--NR=1",0
"119","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region001|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region001--NR=2",0.0140027058044255
"120","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region002|GC_DNA--Entryname=ranthipeptide--OS=intestinalis_L1-82_genome--SMASHregion=region002--NR=2",0
"121","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region003|GC_DNA--Entryname=RRE-containing--OS=intestinalis_L1-82_genome--SMASHregion=region003--NR=2",-0.102081788328821
"122","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region004|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region004--NR=2",-0.00402362115520125
"123","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region005|GC_DNA--Entryname=cyclic-lactone-autoinducer:ranthipeptide--OS=intestinalis_L1-82_genome--SMASHregion=region005--NR=2",-0.0982955511061142
"124","ccAustria","ccAustria","group",2,"binomial","BGC","gb|LR027880.1.region006|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=intestinalis_L1-82_genome--SMASHregion=region006--NR=2",-0.0641312106437197
"125","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_AP014598.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_OMA14_chromosome--SMASHregion=region001--NR=5",0
"126","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP022479.1.region001|GC_DNA--Entryname=ranthipeptide--OS=prausnitzii_strain_A2165--SMASHregion=region001--NR=2",0
"127","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP022479.1.region002|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=prausnitzii_strain_A2165--SMASHregion=region002--NR=1",0
"128","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP022479.1.region003|GC_DNA--Entryname=cyclic-lactone-autoinducer--OS=prausnitzii_strain_A2165--SMASHregion=region003--NR=3",0
"129","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP024696.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2033--SMASHregion=region001--NR=1",0
"130","ccAustria","ccAustria","group",2,"binomial","BGC","gb|NZ_CP024724.1.region001|GC_DNA--Entryname=resorcinol--OS=intermedia_strain_KCOM_2837_chromosome--SMASHregion=region001--NR=1",0
